720,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
600,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 3代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
720,三星 870Z5G,固态硬盘240GB-288GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 3代,几乎全新，无任何瑕疵,不含机械硬盘,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
840,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i7 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
720,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
100,三星 870Z5G,不含固态硬盘,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
35,三星 870Z5G,不含固态硬盘,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
660,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,无磕碰掉漆，有轻微划痕,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
640,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,仅有1-2处磕碰掉漆,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
510,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,有多处磕碰、掉漆,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
590,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
400,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
590,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
400,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件
210,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件,机身进水
210,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件,严重维修
440,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件,硬盘损坏、健康度低、硬盘锁
550,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件,键盘外观磨损、功能异常
440,三星 870Z5G,不含固态硬盘,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 4代,几乎全新，无任何瑕疵,机械硬盘500GB-1TB,2G独立显卡,8GB,无硬件锁,显卡功能正常,不缺件,无电池，电池鼓胀或不供电
