380,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
400,OPPO A1,全网通,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
310,OPPO A1,移动版,3G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
340,OPPO A1,全网通,3G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
380,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
380,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,有开机密码,充电正常,账号可退出,振动正常
2,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,无法开机/自动重启/工程模式,充电正常,账号可退出,振动正常
330,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，外壳有磕碰掉漆,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
240,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,屏幕有缺角/碎裂,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
330,OPPO A1,移动版,4G+64G,无维修情况,经常使用，显示正常细微色差,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
160,OPPO A1,移动版,4G+64G,无维修情况,显示异常，有局部花屏/老化,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
65,OPPO A1,移动版,4G+64G,无维修情况,屏幕无法正常显示,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
160,OPPO A1,移动版,4G+64G,屏幕维修（屏幕拆开或维修）,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
160,OPPO A1,移动版,4G+64G,主板维修（主板拆修或故障）,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
60,OPPO A1,移动版,4G+64G,屏幕和主板均有维修,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常
160,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,触摸失灵/延迟
160,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,机身进水或受潮
180,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,机身弯曲
300,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,更换过电池/摄像头/外壳/尾插
160,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,通话功能不正常
180,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,拍摄模糊/抖动/有斑
160,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,无线无法打开/无法连接
300,OPPO A1,移动版,4G+64G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,大陆国行（有“进网许可”标签）,正常开机进入桌面,充电正常,账号可退出,振动正常,光线/距离感应不正常
