740,苹果 09年 MacBook Air,固态硬盘64GB,2.13GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
770,苹果 09年 MacBook Air,固态硬盘128GB,2.13GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
610,苹果 09年 MacBook Air,不含固态硬盘,2.13GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,机械硬盘120GB,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
610,苹果 09年 MacBook Air,不含固态硬盘,2.13GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,机械硬盘250GB,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
740,苹果 09年 MacBook Air,固态硬盘64GB,1.86GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
770,苹果 09年 MacBook Air,固态硬盘128GB,1.86GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
610,苹果 09年 MacBook Air,不含固态硬盘,1.86GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,机械硬盘120GB,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
740,苹果 09年 MacBook Air,固态硬盘64GB,2.13GHz Intel Core 2 Duo,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
65,苹果 09年 MacBook Air,固态硬盘64GB,2.13GHz Intel Core 2 Duo,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
35,苹果 09年 MacBook Air,固态硬盘64GB,2.13GHz Intel Core 2 Duo,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,不含机械硬盘,NVIDIA GeForce 9400M,2GB-3GB ,无硬件锁,显卡功能正常,不缺件
