3650,苹果 15年 12寸 MacBook,固态硬盘256GB,1.1GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
3870,苹果 15年 12寸 MacBook,固态硬盘512GB,1.1GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
3650,苹果 15年 12寸 MacBook,固态硬盘256GB,1.3GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
4140,苹果 15年 12寸 MacBook,固态硬盘512GB,1.3GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
4010,苹果 15年 12寸 MacBook,固态硬盘512GB,1.2GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
3190,苹果 15年 12寸 MacBook,固态硬盘120GB-192GB,1.1GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
720,苹果 15年 12寸 MacBook,固态硬盘256GB,1.1GHz Intel Core M,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
180,苹果 15年 12寸 MacBook,固态硬盘256GB,1.1GHz Intel Core M,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
3210,苹果 15年 12寸 MacBook,固态硬盘256GB,1.1GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无磕碰掉漆，有轻微划痕,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
3060,苹果 15年 12寸 MacBook,固态硬盘256GB,1.1GHz Intel Core M,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,仅有1-2处磕碰掉漆,Intel HD 5300,8GB,无硬件锁,显卡功能正常,不缺件
