1670,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2180,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2180,小米笔记本Air 12.5寸 经典版,固态硬盘320GB-400GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2410,小米笔记本Air 12.5寸 经典版,固态硬盘544GB-768GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1660,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2290,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2030,小米笔记本Air 12.5寸 经典版,固态硬盘320GB-400GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1970,小米笔记本Air 12.5寸 经典版,固态硬盘544GB-768GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1950,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M7系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2140,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M7系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1890,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M7系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2040,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M7系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2000,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1920,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2190,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
2120,小米笔记本Air 12.5寸 经典版,固态硬盘240GB-288GB,4GB-6GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 7代,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
130,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
80,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1450,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,无磕碰掉漆，有轻微划痕,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1440,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,仅有1-2处磕碰掉漆,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1250,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,有多处磕碰、掉漆,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1390,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
820,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1390,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
820,小米笔记本Air 12.5寸 经典版,固态硬盘120GB-192GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,Intel 酷睿 M3系列,几乎全新，无任何瑕疵,核芯/集成显卡,金色,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
